arch-23u	arch-16u
UH	UH
UH₃~a	UH₃~a
UH₃~a@t	UH₃~a@t
UH₃~b	UH₃~b
UKKIN~a	UKKIN~a
UKKIN~b	UKKIN~b
UKKIN~b×(DIN.1(N01))	|UKKIN~b×(DIN.1(N01))|
UKKIN~b×2(N01)	|UKKIN~b×2(N01)|
UKKIN~b×3(N01)	|UKKIN~b×3(N01)|
UKKIN~b×5(N01)	|UKKIN~b×5(N01)|
UKKIN~b×DIN	|UKKIN~b×DIN|
UKKIN~b×DUG~a	|UKKIN~b×DUG~a|
UKKIN~b×HI@g~a	|UKKIN~b×HI@g~a|
UKKIN~b×NI~a	|UKKIN~b×NI~a|
UKKIN~b×X	|UKKIN~b×X|
UKKIN~c	UKKIN~c
UMBIN~a	UMBIN~a
UMBIN~b1	UMBIN~b1
UMBIN~b2	UMBIN~b2
UMBIN~c	UMBIN~c
UMUN₂	UMUN₂
UNUG~a	UNUG~a
UNUG~a@s	UNUG~a@s
UNUG~a×A@t	|UNUG~a×A@t|
UNUG~b	UNUG~b
UNUG~c	UNUG~c
URI	URI
URI₂	URI₂
URI₃~a	URI₃~a
URI₃~a+IB~a	|URI₃~a+IB~a|
URI₃~b	URI₃~b
URI₅	URI₅
URUDU@g~a	URUDU@g~a
URUDU@g~b	URUDU@g~b
URUDU@g~c	URUDU@g~c
URUDU@g~d	URUDU@g~d
URUDU~a	URUDU~a
URUDU~c	URUDU~c
URUDU~d	URUDU~d
URU~a1	URU~a1
URU~a1@n	URU~a1@n
URU~a1×1(N57)	|URU~a1×1(N57)|
URU~a1×2(N57)	|URU~a1×2(N57)|
URU~a1×A	|URU~a1×A|
URU~a1×AMAR	|URU~a1×AMAR|
URU~a1×GU₄	|URU~a1×GU₄|
URU~a1×HI@g~a	|URU~a1×HI@g~a|
URU~a1×NIMGIR	|URU~a1×NIMGIR|
URU~a1×U₄	|URU~a1×U₄|
URU~a1×X	|URU~a1×X|
URU~a2	URU~a2
URU~a2×1(N58)	|URU~a2×1(N58)|
URU~a3×KALAM~a	|URU~a3×KALAM~a|
URU~b1	URU~b1
URU~b2	URU~b2
URU~c	URU~c
UR~a	UR~a
UR~a@g	UR~a@g
UR~a×KAR₂	|UR~a×KAR₂|
UR~b	UR~b
UR~c	UR~c
UR₂	UR₂
UR₂×1(N57)	|UR₂×1(N57)|
UR₂×TAR	|UR₂×TAR|
UR₃~a1	UR₃~a1
UR₃~a2	UR₃~a2
UR₃~a3	UR₃~a3
UR₃~b1	UR₃~b1
UR₃~b1×MAŠ	|UR₃~b1×MAŠ|
UR₃~b2	UR₃~b2
UR₄~a	UR₄~a
UR₄~b	UR₄~b
UR₄~c	UR₄~c
UR₅~a	UR₅~a
UR₅~b	UR₅~b
UTUA~a	UTUA~a
UTUA~a@t	UTUA~a@t
UTUA~b	UTUA~b
UTUL~a	UTUL~a
UTUL~b	UTUL~b
UTUL~c	UTUL~c
UTUL~d	UTUL~d
UZU	UZU
UŠUMGAL	UŠUMGAL
UŠUR₃~a	UŠUR₃~a
UŠUR₃~b1	UŠUR₃~b1
UŠUR₃~b2	UŠUR₃~b2
UŠ~a	UŠ~a
UŠ~a&UŠ~a	|UŠ~a&UŠ~a|
UŠ~b	UŠ~b
UŠ~b&UŠ~b	|UŠ~b&UŠ~b|
UŠ~b×TAR~c	|UŠ~b×TAR~c|
UŠ~b×TAR~d	|UŠ~b×TAR~d|
U₂~a	U₂~a
U₂~b	U₂~b
U₂~c	U₂~c
U₄	U₄
U₄.(1(N14).3(N08))	|U₄.(1(N14).3(N08))|
U₄.(1(N14).4(N08))	|U₄.(1(N14).4(N08))|
U₄.(1(N14).5(N08))	|U₄.(1(N14).5(N08))|
U₄.(1(N14).8(N08))	|U₄.(1(N14).8(N08))|
U₄.1(N08)	|U₄.1(N08)|
U₄.1(N14)	|U₄.1(N14)|
U₄.2(N08)	|U₄.2(N08)|
U₄.2(N14)	|U₄.2(N14)|
U₄.3(N08)	|U₄.3(N08)|
U₄.4(N08)	|U₄.4(N08)|
U₄.5(N08)	|U₄.5(N08)|
U₄.6(N08)	|U₄.6(N08)|
U₄.7(N08)	|U₄.7(N08)|
U₄.8(N08)	|U₄.8(N08)|
U₄.ŠU₂	|U₄.ŠU₂|
U₄@t	U₄@t
U₄×(1(N14).2(N01))	|U₄×(1(N14).2(N01))|
U₄×(1(N14).4(N01))	|U₄×(1(N14).4(N01))|
U₄×(1(N14).8(N01))	|U₄×(1(N14).8(N01))|
U₄×(2(N14).4(N01))	|U₄×(2(N14).4(N01))|
U₄×(3(N14).2(N01))	|U₄×(3(N14).2(N01))|
U₄×(3(N14).7(N01))	|U₄×(3(N14).7(N01))|
U₄×(X(N01))	|U₄×(X(N01))|
U₄×(X+2(N01))	|U₄×(X+2(N01))|
U₄×1(N01)	|U₄×1(N01)|
U₄×1(N01).5(N08)	|U₄×1(N01).5(N08)|
U₄×1(N01)F	|U₄×1(N01)F|
U₄×1(N14)	|U₄×1(N14)|
U₄×1(N57)	|U₄×1(N57)|
U₄×1(N58)@t	|U₄×1(N58)@t|
U₄×10(N57)	|U₄×10(N57)|
U₄×2(N01)	|U₄×2(N01)|
U₄×2(N01).(2(N14).1(N08))	|U₄×2(N01).(2(N14).1(N08))|
U₄×2(N01).2(N14)	|U₄×2(N01).2(N14)|
U₄×2(N01).X	|U₄×2(N01).X|
U₄×2(N14)	|U₄×2(N14)|
U₄×2(N57)	|U₄×2(N57)|
U₄×3(N01)	|U₄×3(N01)|
U₄×3(N01).3(N08)	|U₄×3(N01).3(N08)|
U₄×3(N57)	|U₄×3(N57)|
U₄×4(N01)	|U₄×4(N01)|
U₄×4(N01).2(N14)	|U₄×4(N01).2(N14)|
U₄×4(N57)	|U₄×4(N57)|
U₄×5(N01)	|U₄×5(N01)|
U₄×5(N01).1(N14)	|U₄×5(N01).1(N14)|
U₄×5(N57)	|U₄×5(N57)|
U₄×6(N01)	|U₄×6(N01)|
U₄×6(N57)	|U₄×6(N57)|
U₄×7(N57)	|U₄×7(N57)|
U₄×8(N01)	|U₄×8(N01)|
U₄×8(N01).X	|U₄×8(N01).X|
U₄×8(N57)	|U₄×8(N57)|
U₄×X	|U₄×X|
U₈	U₈
ZABALAM~a	ZABALAM~a
ZABALAM~b	ZABALAM~b
ZADIM	ZADIM
ZAG~a	ZAG~a
ZAG~b	ZAG~b
ZAG~c	ZAG~c
ZAR~a	ZAR~a
ZAR~b1	ZAR~b1
ZAR~b2	ZAR~b2
ZAR~c	ZAR~c
ZATU620	ZATU620
ZATU621~a	ZATU621~a
ZATU621~b	ZATU621~b
ZATU621~c	ZATU621~c
ZATU621~d	ZATU621~d
ZATU622	ZATU622
ZATU623	ZATU623
ZATU624~a	ZATU624~a
ZATU624~b	ZATU624~b
ZATU624~c	ZATU624~c
ZATU625	ZATU625
ZATU626~a	ZATU626~a
ZATU626~b	ZATU626~b
ZATU626~c	ZATU626~c
ZATU627	ZATU627
ZATU628~a	ZATU628~a
ZATU628~b	ZATU628~b
ZATU629	ZATU629
ZATU630	ZATU630
ZATU631	ZATU631
ZATU632~a	ZATU632~a
ZATU632~b	ZATU632~b
ZATU632~c	ZATU632~c
ZATU633~a	ZATU633~a
ZATU633~b	ZATU633~b
ZATU634	ZATU634
ZATU635	ZATU635
ZATU636	ZATU636
ZATU637	ZATU637
ZATU639	ZATU639
ZATU640	ZATU640
ZATU641	ZATU641
ZATU642	ZATU642
ZATU643	ZATU643
ZATU644~a	ZATU644~a
ZATU644~a×1(N14)	|ZATU644~a×1(N14)|
ZATU644~b	ZATU644~b
ZATU646	ZATU646
ZATU647	ZATU647
ZATU648	ZATU648
ZATU649	ZATU649
ZATU650	ZATU650
ZATU651	ZATU651
ZATU651@g	ZATU651@g
ZATU651×AN	|ZATU651×AN|
ZATU651×EN~a	|ZATU651×EN~a|
ZATU651×GAR	|ZATU651×GAR|
ZATU651×MA	|ZATU651×MA|
ZATU651×NUN~a	|ZATU651×NUN~a|
ZATU651×X	|ZATU651×X|
ZATU651×ZAR~c	|ZATU651×ZAR~c|
ZATU651×ŠE~a	|ZATU651×ŠE~a|
ZATU659	ZATU659
ZATU659×1(N01)	|ZATU659×1(N01)|
ZATU659×1(N14)	|ZATU659×1(N14)|
ZATU659×1(N58)@t	|ZATU659×1(N58)@t|
ZATU662	ZATU662
ZATU662×1(N14)	|ZATU662×1(N14)|
ZATU664	ZATU664
ZATU665	ZATU665
ZATU666	ZATU666
ZATU667	ZATU667
ZATU668	ZATU668
ZATU669	ZATU669
ZATU670	ZATU670
ZATU672	ZATU672
ZATU674	ZATU674
ZATU675~a	ZATU675~a
ZATU675~b	ZATU675~b
ZATU675~c	ZATU675~c
ZATU675~d	ZATU675~d
ZATU676~a	ZATU676~a
ZATU676~b	ZATU676~b
ZATU677~a	ZATU677~a
ZATU677~b	ZATU677~b
ZATU678	ZATU678
ZATU679	ZATU679
ZATU680~a1	ZATU680~a1
ZATU680~a2	ZATU680~a2
ZATU680~b	ZATU680~b
ZATU680~d	ZATU680~d
ZATU680~e	ZATU680~e
ZATU681	ZATU681
ZATU682	ZATU682
ZATU683@t	ZATU683@t
ZATU683~a	ZATU683~a
ZATU683~b	ZATU683~b
ZATU684	ZATU684
ZATU685	ZATU685
ZATU686~a	ZATU686~a
ZATU686~b	ZATU686~b
ZATU686~c	ZATU686~c
ZATU687	ZATU687
ZATU688~a	ZATU688~a
ZATU688~b	ZATU688~b
ZATU689	ZATU689
ZATU690	ZATU690
ZATU691	ZATU691
ZATU692	ZATU692
ZATU693	ZATU693
ZATU693@t	ZATU693@t
ZATU694~a	ZATU694~a
ZATU694~b	ZATU694~b
ZATU694~c	ZATU694~c
ZATU694~d	ZATU694~d
ZATU694~d@t	ZATU694~d@t
ZATU695	ZATU695
ZATU696	ZATU696
ZATU697~a	ZATU697~a
ZATU697~b	ZATU697~b
ZATU697~c	ZATU697~c
ZATU699~a	ZATU699~a
ZATU699~b	ZATU699~b
ZATU700	ZATU700
ZATU701	ZATU701
ZATU702	ZATU702
ZATU703	ZATU703
ZATU704	ZATU704
ZATU705	ZATU705
ZATU706	ZATU706
ZATU707~a	ZATU707~a
ZATU707~b	ZATU707~b
ZATU708	ZATU708
ZATU709	ZATU709
ZATU710	ZATU710
ZATU711	ZATU711
ZATU711×HI@g~a	|ZATU711×HI@g~a|
ZATU711×X	|ZATU711×X|
ZATU713	ZATU713
ZATU714	ZATU714
ZATU714.RU	|ZATU714.RU|
ZATU714×HI@g~a	|ZATU714×HI@g~a|
ZATU714×X	|ZATU714×X|
ZATU717	ZATU717
ZATU718	ZATU718
ZATU719	ZATU719
ZATU720	ZATU720
ZATU721	ZATU721
ZATU722	ZATU722
ZATU723	ZATU723
ZATU724	ZATU724
ZATU725	ZATU725
ZATU726~a	ZATU726~a
ZATU726~c	ZATU726~c
ZATU726~d	ZATU726~d
ZATU727	ZATU727
ZATU728	ZATU728
ZATU729	ZATU729
ZATU730	ZATU730
ZATU732	ZATU732
ZATU733	ZATU733
ZATU734	ZATU734
ZATU735~a	ZATU735~a
ZATU735~b	ZATU735~b
ZATU735~c	ZATU735~c
ZATU736~a	ZATU736~a
ZATU736~b	ZATU736~b
ZATU737	ZATU737
ZATU737×AB~a	|ZATU737×AB~a|
ZATU737×BUR~a	|ZATU737×BUR~a|
ZATU737×BU~a	|ZATU737×BU~a|
ZATU737×DI	|ZATU737×DI|
ZATU737×EN~a	|ZATU737×EN~a|
ZATU737×EN~b	|ZATU737×EN~b|
ZATU737×E~a	|ZATU737×E~a|
ZATU737×GAR	|ZATU737×GAR|
ZATU737×NIMGIR	|ZATU737×NIMGIR|
ZATU737×NI~a@g	|ZATU737×NI~a@g|
ZATU737×SAL	|ZATU737×SAL|
ZATU737×SU~a	|ZATU737×SU~a|
ZATU737×UNUG~a	|ZATU737×UNUG~a|
ZATU737×U₄	|ZATU737×U₄|
ZATU737×X	|ZATU737×X|
ZATU737×ŠE~a	|ZATU737×ŠE~a|
ZATU737×ŠITA@g~a	|ZATU737×ŠITA@g~a|
ZATU737×ŠITA~a1	|ZATU737×ŠITA~a1|
ZATU749~a	ZATU749~a
ZATU749~b	ZATU749~b
ZATU749~c	ZATU749~c
ZATU750	ZATU750
ZATU751~a	ZATU751~a
ZATU751~b	ZATU751~b
ZATU752	ZATU752
ZATU753	ZATU753
ZATU754	ZATU754
ZATU755~a	ZATU755~a
ZATU755~b	ZATU755~b
ZATU756	ZATU756
ZATU757	ZATU757
ZATU758	ZATU758
ZATU759	ZATU759
ZATU759@t×X	|ZATU759@t×X|
ZATU759×(KU₆~a+KU₆~a)	|ZATU759×(KU₆~a+KU₆~a)|
ZATU759×KU₆~a	|ZATU759×KU₆~a|
ZATU759×KU₆~d	|ZATU759×KU₆~d|
ZATU759×X	|ZATU759×X|
ZATU761	ZATU761
ZATU762~a	ZATU762~a
ZATU762~a×NIM~a	|ZATU762~a×NIM~a|
ZATU762~b	ZATU762~b
ZATU762~b×AB~a	|ZATU762~b×AB~a|
ZATU764	ZATU764
ZATU765	ZATU765
ZATU766	ZATU766
ZATU767	ZATU767
ZATU768	ZATU768
ZATU769	ZATU769
ZATU771	ZATU771
ZATU772	ZATU772
ZATU773~a	ZATU773~a
ZATU773~b	ZATU773~b
ZATU774	ZATU774
ZATU775	ZATU775
ZATU776	ZATU776
ZATU777	ZATU777
ZATU778	ZATU778
ZATU779	ZATU779
ZATU780	ZATU780
ZATU781	ZATU781
ZATU782	ZATU782
ZATU783	ZATU783
ZATU784	ZATU784
ZATU785	ZATU785
ZATU786	ZATU786
ZATU787	ZATU787
ZATU788	ZATU788
ZATU789	ZATU789
ZATU791	ZATU791
ZATU792	ZATU792
ZATU795	ZATU795
ZATU797	ZATU797
ZATU798	ZATU798
ZATU799	ZATU799
ZATU800	ZATU800
ZATU801	ZATU801
ZATU802	ZATU802
ZATU803	ZATU803
ZATU804	ZATU804
ZATU805	ZATU805
ZATU806	ZATU806
ZATU807	ZATU807
ZATU808	ZATU808
ZATU809	ZATU809
ZATU810	ZATU810
ZATU811	ZATU811
ZATU812	ZATU812
ZATU813	ZATU813
ZATU814	ZATU814
ZATU815	ZATU815
ZATU817	ZATU817
ZATU818	ZATU818
ZATU819	ZATU819
ZATU820	ZATU820
ZATU821	ZATU821
ZATU822	ZATU822
ZATU823	ZATU823
ZATU824	ZATU824
ZATU825	ZATU825
ZATU826	ZATU826
ZATU829	ZATU829
ZATU831	ZATU831
ZATU831@g	ZATU831@g
ZATU832	ZATU832
ZATU833	ZATU833
ZATU834	ZATU834
ZATU835	ZATU835
ZATU836	ZATU836
ZATU837~a	ZATU837~a
ZATU837~b	ZATU837~b
ZATU838	ZATU838
ZATU839	ZATU839
ZATU840	ZATU840
ZATU841	ZATU841
ZATU842	ZATU842
ZATU843	ZATU843
ZATU844	ZATU844
ZATU845	ZATU845
ZATU846	ZATU846
ZATU847	ZATU847
ZATU848	ZATU848
ZATU849	ZATU849
ZATU850	ZATU850
ZATU851	ZATU851
ZATU852	ZATU852
ZATU853	ZATU853
ZATU854	ZATU854
ZATU855	ZATU855
ZA~x	ZA~x
ZI~a	ZI~a
ZI~b	ZI~b
ZI~d	ZI~d
ZUBI~a	ZUBI~a
ZUBI~b	ZUBI~b
×(N57).GAR	|×(N57).GAR|
ŠA	ŠA
ŠA@g	ŠA@g
ŠAB~a	ŠAB~a
ŠAB~b	ŠAB~b
ŠAGAN	ŠAGAN
ŠAGINA	ŠAGINA
ŠAH₂~a	ŠAH₂~a
ŠAH₂~b	ŠAH₂~b
ŠAH₂~c	ŠAH₂~c
ŠAKIR~a	ŠAKIR~a
ŠAKIR~b	ŠAKIR~b
ŠAKIR~c	ŠAKIR~c
ŠAM₂	ŠAM₂
ŠANDANA~a	ŠANDANA~a
ŠANDANA~b	ŠANDANA~b
ŠA₃~a1	ŠA₃~a1
ŠA₃~a2	ŠA₃~a2
ŠA₃~b	ŠA₃~b
ŠA₃~c	ŠA₃~c
ŠA₃~d	ŠA₃~d
ŠEG₉	ŠEG₉
ŠELU	ŠELU
ŠENNUR~a	ŠENNUR~a
ŠENNUR~b	ŠENNUR~b
ŠEN~a	ŠEN~a
ŠEN~b	ŠEN~b
ŠEN~c	ŠEN~c
ŠEN~c@t	ŠEN~c@t
ŠEN~d	ŠEN~d
ŠEN~d×A	|ŠEN~d×A|
ŠEN~e	ŠEN~e
ŠE~a&ŠE~a	|ŠE~a&ŠE~a|
ŠE~a.KIN₂~c	|ŠE~a.KIN₂~c|
ŠE~a.NAM₂	|ŠE~a.NAM₂|
ŠE~a@t	ŠE~a@t
ŠE~b	ŠE~b
ŠE~c	ŠE~c
ŠEŠ~a	ŠEŠ~a
ŠEŠ~b	ŠEŠ~b
ŠE₃	ŠE₃
ŠE₃@t	ŠE₃@t
ŠIDIM	ŠIDIM
ŠIDIM@t	ŠIDIM@t
ŠIM~a	ŠIM~a
ŠIM~b	ŠIM~b
ŠIR~a	ŠIR~a
ŠIR~b	ŠIR~b
ŠITA@g~a	ŠITA@g~a
ŠITA@g~a×1(N04)	|ŠITA@g~a×1(N04)|
ŠITA@g~a×1(N06)	|ŠITA@g~a×1(N06)|
ŠITA@g~b	ŠITA@g~b
ŠITA~a1	ŠITA~a1
ŠITA~a1×1(N06)	|ŠITA~a1×1(N06)|
ŠITA~a1×KAK~a	|ŠITA~a1×KAK~a|
ŠITA~a1×UDU~a	|ŠITA~a1×UDU~a|
ŠITA~a1×ŠU	|ŠITA~a1×ŠU|
ŠITA~a1×ŠU₂	|ŠITA~a1×ŠU₂|
ŠITA~a2	ŠITA~a2
ŠITA~a3	ŠITA~a3
ŠITA~b1	ŠITA~b1
ŠITA~b1×HI@g~a	|ŠITA~b1×HI@g~a|
ŠITA~b2	ŠITA~b2
ŠITA~b3	ŠITA~b3
ŠITA~b3×NAM₂	|ŠITA~b3×NAM₂|
ŠITA~c	ŠITA~c
ŠU	ŠU
ŠU&ŠU	|ŠU&ŠU|
ŠU@g	ŠU@g
ŠU@s	ŠU@s
ŠUBUR	ŠUBUR
ŠUM	ŠUM
ŠURUPPAK~a	ŠURUPPAK~a
ŠURUPPAK~b	ŠURUPPAK~b
ŠURUPPAK~c	ŠURUPPAK~c
ŠUR₂~a	ŠUR₂~a
ŠUR₂~b	ŠUR₂~b
ŠU×1(N58)	|ŠU×1(N58)|
ŠU₁₂	ŠU₁₂
ŠU₂	ŠU₂
ŠU₂.((HI+1(N57))+(HI+1(N57)))	|ŠU₂.((HI+1(N57))+(HI+1(N57)))|
ŠU₂.1(N02)	|ŠU₂.1(N02)|
ŠU₂.2(N57)	|ŠU₂.2(N57)|
ŠU₂.EN~a	|ŠU₂.EN~a|
ŠU₂.EN~b	|ŠU₂.EN~b|
ŠU₂.E₂~a	|ŠU₂.E₂~a|
ŠU₂.E₂~b	|ŠU₂.E₂~b|
ŠU₂.GIŠ	|ŠU₂.GIŠ|
ŠU₂.URI₃~a	|ŠU₂.URI₃~a|
