WS	USN	MAP	SLSN	UHEX	UNAME
p	1(N34@f@t)		1(N34@f@t)	12675	CUNEIFORM NUMERIC SIGN ONE N34 FLAT TENU
p	1(N04@f)		1(N04@f)	12676	CUNEIFORM NUMERIC SIGN ONE N04 FLAT
p	2(N04@f)		2(N04@f)	12677	CUNEIFORM NUMERIC SIGN TWO N04 FLAT
p	3(N04@f)		3(N04@f)	12678	CUNEIFORM NUMERIC SIGN THREE N04 FLAT
p	4(N04@f)		4(N04@f)	12679	CUNEIFORM NUMERIC SIGN FOUR N04 FLAT
p	5(N04@f)		5(N04@f)	1267A	CUNEIFORM NUMERIC SIGN FIVE N04 FLAT
p	1(N19@f)		1(N19@f)	1267B	CUNEIFORM NUMERIC SIGN ONE N19 FLAT
p	2(N19@f)		2(N19@f)	1267C	CUNEIFORM NUMERIC SIGN TWO N19 FLAT
p	3(N19@f)		3(N19@f)	1267D	CUNEIFORM NUMERIC SIGN THREE N19 FLAT
p	4(N19@f)		4(N19@f)	1267E	CUNEIFORM NUMERIC SIGN FOUR N19 FLAT
p	5(N19@f)		5(N19@f)	1267F	CUNEIFORM NUMERIC SIGN FIVE N19 FLAT
p	6(N19@f)		6(N19@f)	12680	CUNEIFORM NUMERIC SIGN SIX N19 FLAT
p	7(N19@f)		7(N19@f)	12681	CUNEIFORM NUMERIC SIGN SEVEN N19 FLAT
p	8(N19@f)		8(N19@f)	12682	CUNEIFORM NUMERIC SIGN EIGHT N19 FLAT
p	9(N19@f)		9(N19@f)	12683	CUNEIFORM NUMERIC SIGN NINE N19 FLAT
p	1(N46@f)		1(N46@f)	12684	CUNEIFORM NUMERIC SIGN ONE N46 FLAT
p	2(N46@f)		2(N46@f)	12685	CUNEIFORM NUMERIC SIGN TWO N46 FLAT
p	1(N36@f)		1(N36@f)	12686	CUNEIFORM NUMERIC SIGN ONE N36 FLAT
